Date,CDS,US10Y,DXY,RESERVES,ln_DXY,ln_RES,BRUNSON,AGBAL
2010-01-01,188.0,3.85,77.86,74810.0,4.35491234218231,11.222706844866451,0,0
2010-01-08,172.5,3.83,77.471,74532.0,4.3499036727830385,11.218983842347303,0,0
2010-01-15,169.0,3.7,77.323,76631.0,4.347991453380505,11.246756973598734,0,0
2010-01-22,179.0,3.62,78.277,74380.0,4.360253817828241,11.216942367479062,0,0
2010-01-29,193.5,3.63,79.462,74899.0,4.3752789199665,11.223895818281337,0,0
2010-02-05,218.5,3.59,80.441,74285.0,4.387523996453236,11.215664326071453,0,0
2010-02-12,203.0,3.69,80.218,72010.0,4.384747928592569,11.184560277242912,0,0
2010-02-19,193.0,3.78,80.643,71478.0,4.390032006012019,11.177144989027417,0,0
2010-02-26,190.5,3.61,80.362,71842.0,4.386541427641014,11.182224542232218,0,0
2010-03-05,168.5,3.69,80.432,72199.0,4.38741210695022,11.187181474369487,0,0
2010-03-12,159.0,3.71,79.833,72186.0,4.379936952808799,11.187001400261579,0,0
2010-03-19,165.0,3.7,80.724,72897.0,4.391035928831469,11.196802764886597,0,0
2010-03-26,169.5,3.86,81.676,72398.0,4.402760201060788,11.189933953682857,0,0
2010-04-02,169.0,3.96,81.173,73421.0,4.396582679557883,11.203965277225027,0,0
2010-04-09,165.0,3.9,81.093,72584.0,4.395596644202581,11.192499790849466,0,0
2010-04-16,165.5,3.79,80.824,74987.0,4.392273951125431,11.225070044161155,0,0
2010-04-23,173.0,3.84,81.352,76729.0,4.398785418488837,11.248035012374677,0,0
2010-04-30,173.5,3.69,81.866,77104.0,4.4050837642492455,11.252910438880114,0,0
2010-05-07,228.5,3.45,84.45,75494.0,4.436159643253809,11.231808461880517,0,0
2010-05-14,175.87,3.44,86.095,76496.0,4.4554513377381495,11.244993730865884,0,0
2010-05-21,198.5,3.2,85.371,75842.0,4.447006464670372,11.236407507889204,0,0
2010-05-28,175.17,3.31,86.48,76014.0,4.4599131733309525,11.238672812830108,0,0
2010-06-04,199.16,3.2,88.233,75938.0,4.479981042696079,11.237672496857467,0,0
2010-06-11,187.83,3.24,87.507,75012.0,4.47171879016374,11.225403379719813,0,0
2010-06-18,179.16,3.24,85.699,74724.0,4.45084115692422,11.221556604660453,0,0
2010-06-25,192.5,3.12,85.313,74769.0,4.446326846167965,11.222158639556524,0,0
2010-07-02,194.66,3.0,84.427,75421.0,4.435887255656419,11.23084102980692,0,0
2010-07-09,177.83,3.07,83.947,76646.0,4.43018564732814,11.246952697680598,0,0
